Date,Value,Value_Classification,BTC_Closing,BTC_Volume
2018-05-09,53.0,Neutral,9325.1796875,7226890240
2018-05-10,63.0,Greed,9043.9404296875,6906699776
2018-05-11,41.0,Fear,8441.490234375,8488520192
2018-05-12,44.0,Fear,8504.8896484375,6821380096
2018-05-13,40.0,Fear,8723.9404296875,5866379776
2018-05-14,40.0,Fear,8716.7900390625,7364149760
2018-05-15,40.0,Fear,8510.3798828125,6705710080
2018-05-16,32.0,Fear,8368.830078125,6760220160
2018-05-17,31.0,Fear,8094.31982421875,5862530048
2018-05-18,37.0,Fear,8250.9697265625,5764190208
2018-05-19,31.0,Fear,8247.1796875,4712399872
2018-05-20,32.0,Fear,8513.25,5191059968
2018-05-21,41.0,Fear,8418.990234375,5154990080
2018-05-22,30.0,Fear,8041.77978515625,5137010176
2018-05-23,26.0,Fear,7557.81982421875,6491120128
2018-05-24,27.0,Fear,7587.33984375,6049220096
2018-05-25,25.0,Extreme Fear,7480.14013671875,4867829760
2018-05-26,23.0,Extreme Fear,7355.8798828125,4051539968
2018-05-27,19.0,Extreme Fear,7368.22021484375,4056519936
2018-05-28,22.0,Extreme Fear,7135.990234375,5040600064
2018-05-29,16.0,Extreme Fear,7472.58984375,5662660096
2018-05-30,38.0,Fear,7406.52001953125,4922540032
2018-05-31,25.0,Extreme Fear,7494.169921875,5127130112
2018-06-01,24.0,Extreme Fear,7541.4501953125,4921460224
2018-06-02,27.0,Fear,7643.4501953125,4939299840
2018-06-03,40.0,Fear,7720.25,4851760128
2018-06-04,41.0,Fear,7514.47021484375,4993169920
2018-06-05,26.0,Fear,7633.759765625,4961739776
2018-06-06,42.0,Fear,7653.97998046875,4692259840
2018-06-07,38.0,Fear,7678.240234375,4485799936
2018-06-08,40.0,Fear,7624.919921875,4227579904
2018-06-09,39.0,Fear,7531.97998046875,3845220096
2018-06-10,24.0,Extreme Fear,6786.02001953125,5804839936
2018-06-11,15.0,Extreme Fear,6906.919921875,4745269760
2018-06-12,19.0,Extreme Fear,6582.35986328125,4654380032
2018-06-13,19.0,Extreme Fear,6349.89990234375,5052349952
2018-06-14,17.0,Extreme Fear,6675.35009765625,5138710016
2018-06-15,26.0,Fear,6456.580078125,3955389952
2018-06-16,22.0,Extreme Fear,6550.16015625,3194170112
2018-06-17,23.0,Extreme Fear,6499.27001953125,3104019968
2018-06-18,27.0,Fear,6734.81982421875,4039200000
2018-06-19,32.0,Fear,6769.93994140625,4057029888
2018-06-20,34.0,Fear,6776.5498046875,3888640000
2018-06-21,37.0,Fear,6729.740234375,3529129984
2018-06-22,28.0,Fear,6083.68994140625,5079810048
2018-06-23,17.0,Extreme Fear,6162.47998046875,3431360000
2018-06-24,15.0,Extreme Fear,6173.22998046875,4566909952
2018-06-25,16.0,Extreme Fear,6249.18017578125,5500810240
2018-06-26,21.0,Extreme Fear,6093.669921875,3279759872
2018-06-27,18.0,Extreme Fear,6157.1298828125,3296219904
2018-06-28,20.0,Extreme Fear,5903.43994140625,3467800064
2018-06-29,16.0,Extreme Fear,6218.2998046875,3966230016
2018-06-30,22.0,Extreme Fear,6404.0,4543860224
2018-07-01,27.0,Fear,6385.81982421875,4788259840
2018-07-02,27.0,Fear,6614.18017578125,4396930048
2018-07-03,31.0,Fear,6529.58984375,4672309760
2018-07-04,33.0,Fear,6597.5498046875,4176689920
2018-07-05,37.0,Fear,6639.14013671875,4999240192
2018-07-06,34.0,Fear,6673.5,4313959936
2018-07-07,34.0,Fear,6856.93017578125,3961080064
2018-07-08,38.0,Fear,6773.8798828125,3386210048
2018-07-09,39.0,Fear,6741.75,3718129920
2018-07-10,37.0,Fear,6329.9501953125,4052430080
2018-07-11,29.0,Fear,6394.7099609375,3644859904
2018-07-12,33.0,Fear,6228.81005859375,3770170112
2018-07-13,29.0,Fear,6238.0498046875,3805400064
2018-07-14,29.0,Fear,6276.1201171875,2923670016
2018-07-15,32.0,Fear,6359.64013671875,3285459968
2018-07-16,36.0,Fear,6741.75,4725799936
2018-07-17,39.0,Fear,7321.0400390625,5961950208
2018-07-18,42.0,Fear,7370.77978515625,6103410176
2018-07-19,44.0,Fear,7466.85986328125,5111629824
2018-07-20,47.0,Neutral,7354.1298828125,4936869888
2018-07-21,43.0,Fear,7419.2900390625,3726609920
2018-07-22,46.0,Fear,7418.490234375,3695460096
2018-07-23,44.0,Fear,7711.10986328125,5132480000
2018-07-24,49.0,Neutral,8424.26953125,7277689856
2018-07-25,54.0,Neutral,8181.39013671875,5845400064
2018-07-26,53.0,Neutral,7951.580078125,4899089920
2018-07-27,47.0,Neutral,8165.009765625,5195879936
2018-07-28,54.0,Neutral,8192.150390625,3988750080
2018-07-29,54.0,Neutral,8218.4599609375,4107190016
2018-07-30,53.0,Neutral,8180.47998046875,5551400000
2018-07-31,48.0,Neutral,7780.43994140625,5287530000
2018-08-01,39.0,Fear,7624.91015625,4797620000
2018-08-02,39.0,Fear,7567.14990234375,4214110000
2018-08-03,36.0,Fear,7434.39013671875,4627150000
2018-08-04,31.0,Fear,7032.85009765625,4268390000
2018-08-05,23.0,Extreme Fear,7068.47998046875,3679110000
2018-08-06,25.0,Extreme Fear,6951.7998046875,3925900000
2018-08-07,25.0,Extreme Fear,6753.1201171875,4682800000
2018-08-08,23.0,Extreme Fear,6305.7998046875,5064430000
2018-08-09,19.0,Extreme Fear,6568.22998046875,4267040000
2018-08-10,21.0,Extreme Fear,6184.7099609375,4528680000
2018-08-11,18.0,Extreme Fear,6295.72998046875,4047850000
2018-08-12,18.0,Extreme Fear,6322.68994140625,5665250000
2018-08-13,21.0,Extreme Fear,6297.56982421875,4083980000
2018-08-14,16.0,Extreme Fear,6199.7099609375,5301700000
2018-08-15,18.0,Extreme Fear,6308.52001953125,4895450000
2018-08-16,21.0,Extreme Fear,6334.72998046875,4328420000
2018-08-17,19.0,Extreme Fear,6580.6298828125,4992990000
2018-08-18,24.0,Extreme Fear,6423.759765625,3984520000
2018-08-19,27.0,Fear,6506.06982421875,3311170000
2018-08-20,26.0,Fear,6308.52978515625,3665100000
2018-08-21,19.0,Extreme Fear,6488.759765625,3377180000
2018-08-22,21.0,Extreme Fear,6376.7099609375,4668110000
2018-08-23,18.0,Extreme Fear,6534.8798828125,3426180000
2018-08-24,19.0,Extreme Fear,6719.9599609375,4097820000
2018-08-25,22.0,Extreme Fear,6763.18994140625,3312600000
2018-08-26,19.0,Extreme Fear,6707.259765625,3295500000
2018-08-27,18.0,Extreme Fear,6884.64013671875,4019000000
2018-08-28,19.0,Extreme Fear,7096.27978515625,4659940000
2018-08-29,19.0,Extreme Fear,7047.16015625,4145880000
2018-08-30,22.0,Extreme Fear,6978.22998046875,4463250000
2018-08-31,17.0,Extreme Fear,7037.580078125,4495650000
2018-09-01,21.0,Extreme Fear,7193.25,4116050000
2018-09-02,18.0,Extreme Fear,7272.72021484375,4329540000
2018-09-03,19.0,Extreme Fear,7260.06005859375,4087760000
2018-09-04,26.0,Fear,7361.66015625,4273640000
2018-09-05,17.0,Extreme Fear,6792.830078125,5800460000
2018-09-06,14.0,Extreme Fear,6529.169921875,5523470000
2018-09-07,17.0,Extreme Fear,6467.06982421875,4264680000
2018-09-08,18.0,Extreme Fear,6225.97998046875,3835060000
2018-09-09,13.0,Extreme Fear,6300.85986328125,3671890000
2018-09-10,15.0,Extreme Fear,6329.7001953125,3714100000
2018-09-11,18.0,Extreme Fear,6321.2001953125,3849910000
2018-09-12,14.0,Extreme Fear,6351.7998046875,4064230000
2018-09-13,20.0,Extreme Fear,6517.31005859375,4210910000
2018-09-14,23.0,Extreme Fear,6512.7099609375,4076220000
2018-09-15,24.0,Extreme Fear,6543.2001953125,3216300000
2018-09-16,28.0,Fear,6517.18017578125,3273730000
2018-09-17,25.0,Extreme Fear,6281.2001953125,3910780000
2018-09-18,21.0,Extreme Fear,6371.2998046875,4180090000
2018-09-19,24.0,Extreme Fear,6398.5400390625,4431340000
2018-09-20,24.0,Extreme Fear,6519.669921875,4348110000
2018-09-21,31.0,Fear,6734.9501953125,6531940000
2018-09-22,35.0,Fear,6721.97998046875,4509660000
2018-09-23,38.0,Fear,6710.6298828125,4197500000
2018-09-24,43.0,Fear,6595.41015625,4177310000
2018-09-25,37.0,Fear,6446.47021484375,4726180000
2018-09-26,37.0,Fear,6495.0,4437300000
2018-09-27,42.0,Fear,6676.75,4606810000
2018-09-28,42.0,Fear,6644.1298828125,5014430000
2018-09-29,37.0,Fear,6601.9599609375,4363690000
2018-09-30,34.0,Fear,6625.56005859375,4002280000
2018-10-01,35.0,Fear,6589.6201171875,4000970000
2018-10-02,33.0,Fear,6556.10009765625,3979260000
2018-10-03,36.0,Fear,6502.58984375,3887310000
2018-10-04,29.0,Fear,6576.68994140625,3838410000
2018-10-05,37.0,Fear,6622.47998046875,3671500000
2018-10-06,34.0,Fear,6588.31005859375,3259740000
2018-10-07,29.0,Fear,6602.9501953125,3306630000
2018-10-08,26.0,Fear,6652.22998046875,3979460000
2018-10-09,31.0,Fear,6642.64013671875,3580810000
2018-10-10,28.0,Fear,6585.52978515625,3787650000
2018-10-11,19.0,Extreme Fear,6256.240234375,5181640000
2018-10-12,13.0,Extreme Fear,6274.580078125,3783500000
2018-10-13,15.0,Extreme Fear,6285.990234375,3064030000
2018-10-14,18.0,Extreme Fear,6290.93017578125,3085320000
2018-10-15,20.0,Extreme Fear,6596.5400390625,7370770000
2018-10-16,24.0,Extreme Fear,6596.10986328125,4074800000
2018-10-17,23.0,Extreme Fear,6544.43017578125,4088420000
2018-10-18,26.0,Fear,6476.7099609375,3924080000
2018-10-19,24.0,Extreme Fear,6465.41015625,3578870000
2018-10-20,21.0,Extreme Fear,6489.18994140625,3379130000
2018-10-21,21.0,Extreme Fear,6482.35009765625,3253610000
2018-10-22,27.0,Fear,6487.16015625,3672860000
2018-10-23,24.0,Extreme Fear,6475.740234375,3716150000
2018-10-24,23.0,Extreme Fear,6495.83984375,3424670000
2018-10-25,25.0,Extreme Fear,6476.2900390625,3230550000
2018-10-26,29.0,Fear,6474.75,3306050000
2018-10-27,33.0,Fear,6480.3798828125,3393250000
2018-10-28,35.0,Fear,6486.39013671875,3445190000
2018-10-29,34.0,Fear,6332.6298828125,4199910000
2018-10-30,31.0,Fear,6334.27001953125,3781100000
2018-10-31,32.0,Fear,6317.60986328125,4191240000
2018-11-01,29.0,Fear,6377.77978515625,3789400000
2018-11-02,36.0,Fear,6388.43994140625,4234870000
2018-11-03,36.0,Fear,6361.259765625,3658640000
2018-11-04,41.0,Fear,6376.1298828125,4390020000
2018-11-05,42.0,Fear,6419.66015625,4174800000
2018-11-06,42.0,Fear,6461.009765625,4700040000
2018-11-07,48.0,Neutral,6530.14013671875,4941260000
2018-11-08,51.0,Neutral,6453.72021484375,4665260000
2018-11-09,47.0,Neutral,6385.6201171875,4346820000
2018-11-10,52.0,Neutral,6409.22021484375,3705320000
2018-11-11,54.0,Neutral,6411.27001953125,3939060000
2018-11-12,52.0,Neutral,6371.27001953125,4295770000
2018-11-13,56.0,Greed,6359.490234375,4503800000
2018-11-14,49.0,Neutral,5738.35009765625,7398940000
2018-11-15,28.0,Fear,5648.02978515625,7032140000
2018-11-16,23.0,Extreme Fear,5575.5498046875,5279320000
2018-11-17,24.0,Extreme Fear,5554.330078125,4303150000
2018-11-18,26.0,Fear,5623.5400390625,4159680000
2018-11-19,28.0,Fear,4871.490234375,7039560000
2018-11-20,21.0,Extreme Fear,4451.8701171875,8428290000
2018-11-21,15.0,Extreme Fear,4602.169921875,6120120000
2018-11-22,14.0,Extreme Fear,4365.93994140625,4569370000
2018-11-23,12.0,Extreme Fear,4347.10986328125,4871490000
2018-11-24,15.0,Extreme Fear,3880.760009765625,4679500000
2018-11-25,9.0,Extreme Fear,4009.969970703125,6825640000
2018-11-26,17.0,Extreme Fear,3779.1298828125,6476900000
2018-11-27,11.0,Extreme Fear,3820.719970703125,5998720000
2018-11-28,14.0,Extreme Fear,4257.419921875,7280280000
2018-11-29,18.0,Extreme Fear,4278.8466796875,6503347767
2018-11-30,19.0,Extreme Fear,4017.2685546875,6048016717
2018-12-01,13.0,Extreme Fear,4214.671875,5375314093
2018-12-02,15.0,Extreme Fear,4139.8779296875,5262697895
2018-12-03,17.0,Extreme Fear,3894.130859375,5089570994
2018-12-04,12.0,Extreme Fear,3956.893798828125,5028069239
2018-12-05,19.0,Extreme Fear,3753.994873046875,5302481574
2018-12-06,13.0,Extreme Fear,3521.101806640625,5878333109
2018-12-07,11.0,Extreme Fear,3419.937255859375,6835615448
2018-12-08,11.0,Extreme Fear,3476.11474609375,5305024497
2018-12-09,14.0,Extreme Fear,3614.234375,4947372847
2018-12-10,19.0,Extreme Fear,3502.656005859375,5020968740
2018-12-11,15.0,Extreme Fear,3424.588134765625,4696765188
2018-12-12,14.0,Extreme Fear,3486.9501953125,4139364829
2018-12-13,14.0,Extreme Fear,3313.67724609375,4343372456
2018-12-14,10.0,Extreme Fear,3242.48486328125,4372763663
2018-12-15,11.0,Extreme Fear,3236.76171875,3551763561
2018-12-16,13.0,Extreme Fear,3252.839111328125,3744248994
2018-12-17,17.0,Extreme Fear,3545.86474609375,5409247918
2018-12-18,23.0,Extreme Fear,3696.05908203125,5911325473
2018-12-19,21.0,Extreme Fear,3745.95068359375,6810689119
2018-12-20,27.0,Fear,4134.44140625,8927129279
2018-12-21,35.0,Fear,3896.543701171875,7206015706
2018-12-22,28.0,Fear,4014.1826171875,5605823233
2018-12-23,31.0,Fear,3998.980224609375,6151275490
2018-12-24,25.0,Extreme Fear,4078.59912109375,7240968501
2018-12-25,33.0,Fear,3815.49072265625,6158207293
2018-12-26,26.0,Fear,3857.297607421875,5326547918
2018-12-27,29.0,Fear,3654.83349609375,5130222366
2018-12-28,21.0,Extreme Fear,3923.918701171875,5631554348
2018-12-29,24.0,Extreme Fear,3820.40869140625,4991655917
2018-12-30,23.0,Extreme Fear,3865.95263671875,4770578575
2018-12-31,26.0,Fear,3742.700439453125,4661840806
2019-01-01,24.0,Extreme Fear,3843.52001953125,4324200990
2019-01-02,30.0,Fear,3943.409423828125,5244856836
2019-01-03,33.0,Fear,3836.7412109375,4530215219
2019-01-04,48.0,Neutral,3857.717529296875,4847965467
2019-01-05,36.0,Fear,3845.194580078125,5137609824
2019-01-06,31.0,Fear,4076.632568359375,5597027440
2019-01-07,39.0,Fear,4025.248291015625,5228625637
2019-01-08,39.0,Fear,4030.847900390625,5306593305
2019-01-09,42.0,Fear,4035.29638671875,5115905225
2019-01-10,37.0,Fear,3678.924560546875,6874143796
2019-01-11,19.0,Extreme Fear,3687.365478515625,5538712865
2019-01-12,22.0,Extreme Fear,3661.301025390625,4778170883
2019-01-13,21.0,Extreme Fear,3552.953125,4681302466
2019-01-14,16.0,Extreme Fear,3706.05224609375,5651384490
2019-01-15,27.0,Fear,3630.67529296875,5537192302
2019-01-16,24.0,Extreme Fear,3655.0068359375,5394457145
2019-01-17,28.0,Fear,3678.56396484375,5464420383
2019-01-18,29.0,Fear,3657.83935546875,5002961727
2019-01-19,31.0,Fear,3728.568359375,5955691380
2019-01-20,35.0,Fear,3601.013671875,5582489560
2019-01-21,30.0,Fear,3576.032470703125,5004347059
2019-01-22,27.0,Fear,3604.5771484375,5313623556
2019-01-23,33.0,Fear,3585.123046875,5433755649
2019-01-24,37.0,Fear,3600.865478515625,5262869046
2019-01-25,35.0,Fear,3599.765869140625,5265847539
2019-01-26,41.0,Fear,3602.46044921875,5098183235
2019-01-27,39.0,Fear,3583.9658203125,5570752966
2019-01-28,35.0,Fear,3470.450439453125,6908930483
2019-01-29,21.0,Extreme Fear,3448.116943359375,5897159493
2019-01-30,22.0,Extreme Fear,3486.181640625,5955112627
2019-01-31,17.0,Extreme Fear,3457.792724609375,5831198271
2019-02-01,23.0,Extreme Fear,3487.9453125,5422926707
2019-02-02,22.0,Extreme Fear,3521.060791015625,5071623601
2019-02-03,19.0,Extreme Fear,3464.013427734375,5043937584
2019-02-04,27.0,Fear,3459.154052734375,5332718886
2019-02-05,21.0,Extreme Fear,3466.357421875,5227549545
2019-02-06,14.0,Extreme Fear,3413.767822265625,5482196038
2019-02-07,18.0,Extreme Fear,3399.4716796875,5004962683
2019-02-08,37.0,Fear,3666.7802734375,7735623101
2019-02-09,42.0,Fear,3671.20361328125,6158833645
2019-02-10,40.0,Fear,3690.188232421875,6282256903
2019-02-11,46.0,Fear,3648.4306640625,6277056434
2019-02-12,38.0,Fear,3653.528564453125,6480384532
2019-02-13,48.0,Neutral,3632.070556640625,6438903823
2019-02-14,48.0,Neutral,3616.880859375,6271044418
2019-02-15,43.0,Fear,3620.810791015625,6091952231
2019-02-16,43.0,Fear,3629.78759765625,5934744052
2019-02-17,38.0,Fear,3673.836181640625,7039512503
2019-02-18,63.0,Greed,3915.71435546875,9908216640
2019-02-19,65.0,Greed,3947.094482421875,9933626655
2019-02-20,59.0,Greed,3999.820556640625,8693373948
2019-02-21,59.0,Greed,3954.1181640625,7775128102
2019-02-22,61.0,Greed,4005.526611328125,7826525254
2019-02-23,63.0,Greed,4142.52685546875,8922258316
2019-02-24,69.0,Greed,3810.427490234375,10794227451
2019-02-25,47.0,Neutral,3882.6962890625,9318796067
2019-02-26,40.0,Fear,3854.35791015625,7931218996
2019-02-27,39.0,Fear,3851.04736328125,8301309684
2019-02-28,39.0,Fear,3854.785400390625,8399767798
2019-03-01,42.0,Fear,3859.583740234375,7661247975
2019-03-02,41.0,Fear,3864.4150390625,7578786076
2019-03-03,44.0,Fear,3847.17578125,7253558152
2019-03-04,36.0,Fear,3761.55712890625,9029175788
2019-03-05,35.0,Fear,3896.375,10174126415
2019-03-06,42.0,Fear,3903.942626953125,9175291529
2019-03-07,56.0,Greed,3911.484375,9584165519
2019-03-08,54.0,Neutral,3901.131591796875,10638638944
2019-03-09,55.0,Greed,3963.313720703125,10796103518
2019-03-10,55.0,Greed,3951.599853515625,9713267607
2019-03-11,56.0,Greed,3905.227294921875,10125901903
2019-03-12,56.0,Greed,3909.15625,9809887079
2019-03-13,54.0,Neutral,3906.71728515625,9469184841
2019-03-14,55.0,Greed,3924.369140625,10480789570
2019-03-15,55.0,Greed,3960.9111328125,9394210605
2019-03-16,54.0,Neutral,4048.725830078125,9856166973
2019-03-17,58.0,Greed,4025.22900390625,8221625400
2019-03-18,56.0,Greed,4032.50732421875,9646954186
2019-03-19,56.0,Greed,4071.190185546875,9344919956
2019-03-20,55.0,Greed,4087.476318359375,10175916388
2019-03-21,62.0,Greed,4029.326904296875,10831212662
2019-03-22,56.0,Greed,4023.96826171875,9252935969
2019-03-23,50.0,Neutral,4035.826416015625,9578850549
2019-03-24,44.0,Fear,4022.168212890625,9144851065
2019-03-25,46.0,Fear,3963.070556640625,10359818883
2019-03-26,43.0,Fear,3985.080810546875,10707678815
2019-03-27,44.0,Fear,4087.066162109375,10897131934
2019-03-28,49.0,Neutral,4069.107177734375,9353915899
2019-03-29,50.0,Neutral,4098.37451171875,10918665557
2019-03-30,57.0,Greed,4106.66015625,9732688060
2019-03-31,56.0,Greed,4105.404296875,9045122443
2019-04-01,62.0,Greed,4158.18310546875,10157794171
2019-04-02,60.0,Greed,4879.8779296875,21315047816
2019-04-03,71.0,Greed,4973.02197265625,22899891582
2019-04-04,61.0,Greed,4922.798828125,18251810240
2019-04-05,59.0,Greed,5036.68115234375,16837325387
2019-04-06,65.0,Greed,5059.8173828125,16929795194
2019-04-07,69.0,Greed,5198.89697265625,16655416140
2019-04-08,65.0,Greed,5289.77099609375,17154113634
2019-04-09,64.0,Greed,5204.95849609375,14722104361
2019-04-10,62.0,Greed,5324.5517578125,15504590933
2019-04-11,65.0,Greed,5064.48779296875,16555616019
2019-04-12,42.0,Fear,5089.5390625,13675206312
2019-04-13,62.0,Greed,5096.58642578125,10823289598
2019-04-14,51.0,Neutral,5167.72216796875,10391952498
2019-04-15,60.0,Greed,5067.1083984375,12290155061
2019-04-16,50.0,Neutral,5235.5595703125,11618660197
2019-04-17,61.0,Greed,5251.93798828125,12438480677
2019-04-18,64.0,Greed,5298.3857421875,13256489918
2019-04-19,61.0,Greed,5303.8125,13780238655
2019-04-20,62.0,Greed,5337.88623046875,13169647522
2019-04-21,62.0,Greed,5314.53125,13731844223
2019-04-22,61.0,Greed,5399.365234375,14601631648
2019-04-23,68.0,Greed,5572.3623046875,15867308108
2019-04-24,65.0,Greed,5464.86669921875,17048033399
2019-04-25,58.0,Greed,5210.515625,15330283408
2019-04-26,41.0,Fear,5279.34814453125,16812108040
2019-04-27,42.0,Fear,5268.291015625,13111274675
2019-04-28,40.0,Fear,5285.13916015625,12819992056
2019-04-29,42.0,Fear,5247.3525390625,13735490672
2019-04-30,42.0,Fear,5350.7265625,13878964574
2019-05-01,51.0,Neutral,5402.697265625,13679528236
2019-05-02,50.0,Neutral,5505.28369140625,14644460907
2019-05-03,63.0,Greed,5768.28955078125,18720780006
2019-05-04,66.0,Greed,5831.16748046875,17567780766
2019-05-05,67.0,Greed,5795.70849609375,14808830723
2019-05-06,57.0,Greed,5746.80712890625,15737171804
2019-05-07,69.0,Greed,5829.50146484375,18026409033
2019-05-08,63.0,Greed,5982.45751953125,15320605300
2019-05-09,69.0,Greed,6174.52880859375,16784645411
2019-05-10,71.0,Greed,6378.84912109375,19419875368
2019-05-11,76.0,Extreme Greed,7204.771484375,28867562329
2019-05-12,75.0,Greed,6972.37158203125,27773333680
2019-05-13,78.0,Extreme Greed,7814.9150390625,28677672181
2019-05-14,78.0,Extreme Greed,7994.416015625,32031452227
2019-05-15,77.0,Extreme Greed,8205.16796875,28344112920
2019-05-16,75.0,Greed,7884.9091796875,33167197581
2019-05-17,65.0,Greed,7343.8955078125,30066644905
2019-05-18,67.0,Greed,7271.2080078125,21354286562
2019-05-19,70.0,Greed,8197.689453125,25902422040
2019-05-20,73.0,Greed,7978.30908203125,23843404340
2019-05-21,68.0,Greed,7963.32763671875,25127245056
2019-05-22,69.0,Greed,7680.06640625,24719473175
2019-05-23,65.0,Greed,7881.8466796875,24457107820
2019-05-24,64.0,Greed,7987.37158203125,25919126991
2019-05-25,69.0,Greed,8052.5439453125,22256813107
2019-05-26,67.0,Greed,8673.2158203125,26677970091
2019-05-27,70.0,Greed,8805.7783203125,27949839564
